transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
02/27/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard M Burr,https://efdsearch.senate.gov/search/view/paper/156b69ba-6f48-4a32-b796-707093c476c6/
02/26/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard M Burr,https://efdsearch.senate.gov/search/view/paper/c5ce97f8-72c9-4067-b789-34b656af4fb4/
02/25/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Dianne Feinstein,https://efdsearch.senate.gov/search/view/paper/1a861004-b7f4-4dbd-9186-60bc49286562/
01/29/2020,Self,BMEZ,BlackRock Health Sciences Trust II,Stock,Purchase,"$100,001 - $250,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e01a74ce-8d08-42e0-961e-6b275519c2db/
01/27/2020,Self,PYPL,"PayPal Holdings, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/f9e84e52-f7f3-4457-987e-a85d75f2a0d2/
01/27/2020,Self,INTU,Intuit Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/f9e84e52-f7f3-4457-987e-a85d75f2a0d2/
01/27/2020,Self,DHR,Danaher Corporation,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/f9e84e52-f7f3-4457-987e-a85d75f2a0d2/
01/27/2020,Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/f9e84e52-f7f3-4457-987e-a85d75f2a0d2/
01/27/2020,Self,AAPL,Apple Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/f9e84e52-f7f3-4457-987e-a85d75f2a0d2/
01/14/2020,Self,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/3cfdaebe-eba9-4b90-9f87-c3b18d213656/
01/14/2020,Spouse,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/3cfdaebe-eba9-4b90-9f87-c3b18d213656/
01/14/2020,Spouse,--,"City of Chicago Chicago O'Hare Intl Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/3cfdaebe-eba9-4b90-9f87-c3b18d213656/
02/10/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/c3471d47-b8ef-4f81-95a4-296a440b2ddc/
01/16/2020,Self,--,"Revival LOC, LLC <div class=""text-muted""> <em>Company:</em> Revival LOC, LLC &nbsp;(Springfield, NJ) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Line of Credit - Manufacturer</div>",Other Securities,Purchase,"$500,001 - $1,000,000",--,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/a1ef9953-a4ae-49b8-8f03-1bf633e085e4/
02/07/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,John Boozman,https://efdsearch.senate.gov/search/view/paper/d145efef-1925-4ec2-b435-118c9a57a394/
01/14/2020,Spouse,CMCSA,"Comcast Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $42.50 <br> <em>Expires:</em> 07/17/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/14/2020,Spouse,CSCO,"Cisco Systems, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $45.00 <br> <em>Expires:</em> 07/17/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/14/2020,Spouse,GS,"The Goldman Sachs Group, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $215.00 <br> <em>Expires:</em> 06/19/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/14/2020,Spouse,CVX,"Chevron Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $105.00 <br> <em>Expires:</em> 06/19/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/14/2020,Spouse,UL,"The Unilever Group <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $55.00 <br> <em>Expires:</em> 08/21/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/08/2020,Spouse,PRU,"Prudential Financial, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $87.50 <br> <em>Expires:</em> 06/19/2020 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/29/2020,Spouse,--,"Blackstone Real Estate Investment Trust <div class=""text-muted""> <em>Company:</em> The Blackstone Group Inc. &nbsp;(New York, NY) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate Investment Trust</div>",Other Securities,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/29/2020,Self,--,"Blackstone Real Estate Investment Trust <div class=""text-muted""> <em>Company:</em> The Blackstone Group Inc. &nbsp;(New York, NY) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate Investment Trust</div>",Other Securities,Purchase,"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/31/2020,Spouse,TJX,"The TJX Companies, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/31/2020,Spouse,ROST,"Ross Stores, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/31/2020,Spouse,AZO,"AutoZone, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/30/2020,Spouse,AZO,"AutoZone, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/29/2020,Spouse,ROST,"Ross Stores, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/29/2020,Spouse,KEYS,"Keysight Technologies, Inc.",Stock,Sale (Full),"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/29/2020,Spouse,CMCSA,Comcast Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/28/2020,Spouse,REZI,"Resideo Technologies, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/27/2020,Spouse,REZI,"Resideo Technologies, Inc.",Stock,Sale (Partial),"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/21/2020,Spouse,DFS,Discover Financial Services,Stock,Purchase,"$250,001 - $500,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/17/2020,Spouse,--,"Georgia State Road &amp; Tollway Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2021</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/08/2020,Spouse,--,"Sumter County Georgia School District General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.5%<br> <em>Matures:</em> 10/01/2023</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/08/2020,Spouse,--,"Georgia State General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2021</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
01/24/2020,Spouse,REZI,"Resideo Technologies, Inc.",Stock,Sale (Partial),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/8b915201-8116-4027-9b76-8595ec4ffd85/
02/04/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/03b9dc2b-2e00-44ed-8b2f-cfc729313f92/
01/13/2020,Joint,--,Apple Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/13/2020,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/13/2020,Joint,URBN,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/30/2020,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/30/2020,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/29/2020,Joint,GLW,Corning Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/29/2020,Joint,AXTA,Axalta Coating Systems Ltd.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/28/2020,Joint,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/27/2020,Joint,WPX,"WPX Energy, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/27/2020,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/24/2020,Joint,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/24/2020,Joint,WPX,"WPX Energy, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/24/2020,Joint,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/24/2020,Joint,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/23/2020,Joint,CDLX,"Cardlytics, Inc.",Stock,Sale (Partial),"$1,000,001 - $5,000,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/22/2020,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/21/2020,Joint,URBN,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/14/2020,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/14/2020,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/13/2020,Joint,URBN,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/10/2020,Joint,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/10/2020,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/10/2020,Joint,URBN,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/07/2020,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/06/2020,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/
01/27/2020,Self,--,"BK OF NOVA SCOTIA NTS 02.500% 012927 DTD012920 <div class=""text-muted""><em>Rate/Coupon:</em> 02.500%<br> <em>Matures:</em> 01/29/2027</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/f062a213-2d1b-4da4-b00a-291bb6a8c1ed/
01/10/2020,Self,--,"COCA-COLA CO/THE B/E 02.125% 090629 DTD090619 <div class=""text-muted""><em>Rate/Coupon:</em> 02.125%<br> <em>Matures:</em> 09/06/2029</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/f062a213-2d1b-4da4-b00a-291bb6a8c1ed/
01/10/2020,Self,--,"KINGS PARK N Y CENT SCH DIST BDS 2019 NEW YORK ST AID INTERCEPT PROG <div class=""text-muted""><em>Rate/Coupon:</em> 2.00%<br> <em>Matures:</em> 09/01/2033</div>",Municipal Security,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/f062a213-2d1b-4da4-b00a-291bb6a8c1ed/
01/21/2020,Spouse,MA,Mastercard Incorporated,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/13/2020,Spouse,KSS,Kohl's Corporation,Stock,Sale (Full),"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/13/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/10/2020,Spouse,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/10/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/06/2020,Spouse,MA,Mastercard Incorporated,Stock,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/06/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/06/2020,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/13/2020,Spouse,ETY,Eaton Vance Tax-Managed Diversified Equity Income,Stock,Sale (Partial),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/14/2020,Spouse,BABA,Alibaba Group Holding Limited,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/06/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/
01/24/2020,Spouse,--,"BCS Contingent Autocall CSCO <div class=""text-muted""><em>Rate/Coupon:</em> 8.3%<br> <em>Matures:</em> 01/27/2023</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6bcdb0f5-1e80-4199-a3e7-0a1891b38a75/
01/02/2020,Spouse,--,"CS Contingent Autocall MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6bcdb0f5-1e80-4199-a3e7-0a1891b38a75/
01/02/2020,Spouse,--,"CS Contingent Autocall MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6bcdb0f5-1e80-4199-a3e7-0a1891b38a75/
12/09/2019,Self,TFC,BBT (Exchanged) <br> Truist Financial Corporation (Received),Stock,Exchange,"$100,001 - $250,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/8f0bb966-3361-457d-85e7-f3033e3ee265/
12/31/2019,Self,--,"WARRINGTON TWP PA GO BDS 2014 DUE 12/01/2029 (Exchanged) <br> WARRINGTON TWP PA GO BDS 2014 DUE 12/01/2029 CALLABLE-NEXT PRICING CALL 12/01/2024 (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 12/01/2029</div>",Municipal Security,Exchange,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/f330078d-ccbe-46f5-9764-376f7b421236/
12/31/2019,Self,--,"WARRINGTON TWP PA GO BDS 2014 DUE 12/01/2029 (Exchanged) <br> WARRINGTON TWP PA GO BDS 2014 DUE 12/01/2029 PREREFUNDED 12/01/2024 (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 12/01/2029</div>",Municipal Security,Exchange,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/f330078d-ccbe-46f5-9764-376f7b421236/
01/24/2020,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,John Boozman,https://efdsearch.senate.gov/search/view/paper/7b9582d4-6a8b-4f49-8100-f43c0537a561/
01/13/2020,Self,PG,The Procter &amp; Gamble Company,Stock,Sale (Full),"$100,001 - $250,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/2804d5d8-9616-4854-80bc-62d298b46986/
01/13/2020,Self,BFAM,Bright Horizons Family Solutions Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/2804d5d8-9616-4854-80bc-62d298b46986/
12/09/2019,Joint,VIAC,CBS (Exchanged) <br> ViacomCBS Inc. (Received),Stock,Exchange,"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/cac640d3-ddc1-4874-bf2b-352f3bec35ac/
12/19/2019,Self,--,"Port Authority of NY &amp; NJ Bonds 218 Series <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2030</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/19/2019,Spouse,--,"Port Authority of NY &amp; NJ Bonds 218 Series <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2032</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/19/2019,Spouse,--,"Port Authority of NY &amp; NJ Bonds 218 Series <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/19/2019,Spouse,--,"Port Authority of NY &amp; NJ Bonds 218 Series <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2030</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/17/2019,Self,--,"Broward County Fla Airport System Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/17/2019,Spouse,--,"Broward County Fla Airport System Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/17/2019,Spouse,--,"Broward County Fla Airport System Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/17/2019,Spouse,--,"Broward County Fla Airport System Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2034</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/891c7d3d-9085-47e2-8aa0-d20cf767487b/
12/19/2019,Self,--,"ALEXANDRIA REAL ESTATE E 02.750% 121529 DTD091219 <div class=""text-muted""><em>Rate/Coupon:</em> 02.750%<br> <em>Matures:</em> 12/15/29</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/20466568-8119-4ec3-9c04-ce7f217934db/
12/19/2019,Self,--,"DOW CHEMICAL CO/THE B/E 03.000% 121529 DTD121819 <div class=""text-muted""><em>Rate/Coupon:</em> 03.000%<br> <em>Matures:</em> 12/15/29</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/20466568-8119-4ec3-9c04-ce7f217934db/
12/16/2019,Spouse,CMCSA,Comcast Corporation,Stock,Purchase,"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/d4a14e34-0f09-44e3-b00e-75aa1c12bca7/
12/11/2019,Spouse,C,Citigroup Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/d4a14e34-0f09-44e3-b00e-75aa1c12bca7/
12/09/2019,Joint,--,BBT.F - BB&amp;T CORP F PERPTL PFD (Exchanged) <br> TFC.F - TRUIST FINL CORP F PFD (Received),Stock,Exchange,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/
01/03/2020,Joint,RF,Regions Financial Corporation,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/
01/02/2020,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/
